"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status"
"224","5",0.32007375145076,"Gross Photosynthesis",68,"0","A",20230701,644.499626277741,54.2630210187899,"20230701_F_A_5_O2","no wound"
"225","52",0.476963734719477,"Gross Photosynthesis",69,"1","A",20230701,647.66525632951,10.5266981176888,"20230701_F_A_52_O2","wounded"
"226","57",0.491312027412534,"Gross Photosynthesis",65,"0","A",20230701,646.995945714005,26.9561878360973,"20230701_F_A_57_O2","no wound"
"227","59",0.405766351618103,"Gross Photosynthesis",65,"2","A",20230701,647.070720259331,25.48101905033,"20230701_F_A_59_O2","wounded"
"228","69",0.479874932311806,"Gross Photosynthesis",65,"1","A",20230701,647.472306628634,12.1585698147647,"20230701_F_A_69_O2","wounded"
"229","85",0.425079714571592,"Gross Photosynthesis",67,"1","A",20230701,646.500760438316,20.3449460434734,"20230701_F_A_85_O2","wounded"
"230","87",0.373362012057073,"Gross Photosynthesis",67,"2","A",20230701,647.526688116144,14.9305902803275,"20230701_F_A_87_O2","wounded"
"231","9",0.314976185922399,"Gross Photosynthesis",68,"2","A",20230701,646.805087608803,23.1358789293665,"20230701_F_A_9_O2","wounded"
"232","90",0.404526541970501,"Gross Photosynthesis",67,"0","A",20230701,647.014770075066,18.9589358106921,"20230701_F_A_90_O2","no wound"
"233","18",0.399884486664319,"Gross Photosynthesis",68,"0","H",20230701,646.686739555992,23.4952149156432,"20230701_F_H_18_O2","no wound"
"234","23",0.570386274998673,"Gross Photosynthesis",70,"1","H",20230701,647.410553107077,14.5145170330597,"20230701_F_H_23_O2","wounded"
"235","24",0.344418865876078,"Gross Photosynthesis",70,"2","H",20230701,647.237297087639,17.3189587906174,"20230701_F_H_24_O2","wounded"
"236","3",0.489317053456142,"Gross Photosynthesis",68,"1","H",20230701,646.445120468643,28.331390971547,"20230701_F_H_3_O2","wounded"
"237","32",0.435817458817943,"Gross Photosynthesis",70,"0","H",20230701,646.129919758582,25.8268461649421,"20230701_F_H_32_O2","no wound"
"238","43",0.482567518283029,"Gross Photosynthesis",69,"2","H",20230701,646.01511155293,33.5917455977173,"20230701_F_H_43_O2","wounded"
"239","46",0.487971987474552,"Gross Photosynthesis",69,"1","H",20230701,647.035339016788,15.7708420978616,"20230701_F_H_46_O2","wounded"
"240","51",0.551939802417999,"Gross Photosynthesis",69,"0","H",20230701,647.321837675437,15.9545627524993,"20230701_F_H_51_O2","no wound"
"241","56",0.640191328630423,"Gross Photosynthesis",65,"1","H",20230701,646.906440713171,21.0420038213635,"20230701_F_H_56_O2","wounded"
"242","58",0.647442920744537,"Gross Photosynthesis",65,"0","H",20230701,647.608336334086,11.4750209085392,"20230701_F_H_58_O2","no wound"
"243","63",0.402335544287451,"Gross Photosynthesis",65,"2","H",20230701,647.332796640522,19.0399890406792,"20230701_F_H_63_O2","wounded"
"244","7",0.429126237411038,"Gross Photosynthesis",68,"2","H",20230701,645.571534394731,42.9452883382418,"20230701_F_H_7_O2","wounded"
"245","74",0.521507332812913,"Gross Photosynthesis",67,"1","H",20230701,647.031164172947,17.9052438208582,"20230701_F_H_74_O2","wounded"
"246","76",0.416344386734169,"Gross Photosynthesis",67,"2","H",20230701,646.578715471583,20.882599135722,"20230701_F_H_76_O2","wounded"
"247","81",0.379544730822178,"Gross Photosynthesis",67,"0","H",20230701,646.621507620963,19.6073616505898,"20230701_F_H_81_O2","no wound"
"248","92",0.576390860523927,"Gross Photosynthesis",66,"1","H",20230701,647.249821619165,11.3237215458964,"20230701_F_H_92_O2","wounded"
"249","97",0.359165083629634,"Gross Photosynthesis",66,"0","H",20230701,646.026070518015,30.9548138487998,"20230701_F_H_97_O2","no wound"
