"","coral_num","genotype","wound","temp","wound_status","timepoint","R.hours","P.hours","PR_Ratio"
"124",43,69,2,"H","wounded",1,9.91079205146763,9.64097151607797,0.97277507852163
"125",46,69,1,"H","wounded",1,10.6606280818142,8.59187142880451,0.805944205432064
"126",51,69,0,"H","no wound",1,12.1417739317991,9.05801014250056,0.746020325644327
"127",56,65,1,"H","wounded",1,11.5950913663448,8.2620231916632,0.712544897718018
"128",58,65,0,"H","no wound",1,8.68931004053909,7.44538570817271,0.856844291829503
"129",63,65,2,"H","wounded",1,10.2087533787324,5.35691289568338,0.524737222748791
"130",7,68,2,"H","wounded",1,10.7280990831465,6.76203907106994,0.630311019562903
"131",74,67,1,"H","wounded",1,10.2514163659763,6.96460763420693,0.679380037408484
"132",76,67,2,"H","wounded",1,11.1197418782325,6.99518362286869,0.629077877838345
"133",81,67,0,"H","no wound",1,12.6244792654824,10.448081815257,0.827604972493712
"134",92,66,1,"H","wounded",1,7.64424995599534,4.51867980512153,0.591121409050413
"135",97,66,0,"H","no wound",1,8.42649332034738,5.37607835065467,0.637997105827296
"136",98,66,2,"H","wounded",1,8.72490389386703,7.09610044682044,0.813315600164775
"137",108,66,0,"A","no wound",1,8.01977134437983,5.8384420010405,0.728006042857071
"138",12,68,1,"A","wounded",1,6.97127881099769,5.00256797742181,0.717596887608325
"139",16,68,2,"A","wounded",1,8.79201384419086,7.58210019742319,0.862384924749966
"140",20,70,1,"A","wounded",1,8.46161901431197,7.25215436177847,0.857064629063562
"141",34,70,0,"A","no wound",1,8.28712775735841,6.70320938002744,0.808870042346751
"142",42,69,2,"A","wounded",1,9.41647634721904,8.51877508158772,0.904666965377506
"143",54,69,1,"A","wounded",1,6.47987874574624,7.54342960491222,1.16413129024431
"144",75,67,1,"A","wounded",1,7.8407421598159,5.94181259664149,0.757812522785599
"145",101,66,2,"A","wounded",1,8.87768397558083,5.58842231590798,0.629491017170653
"146",29,70,2,"A","wounded",1,6.58006780733083,5.27337973356998,0.801417232766952
"147",62,65,2,"A","wounded",1,10.8189247628154,9.06403895566273,0.837794804416775
"148",67,65,1,"A","wounded",1,7.54417439338979,4.72629162919235,0.626482287224635
"149",68,65,0,"A","no wound",1,11.8576945871896,8.18122853281317,0.689951024851975
"150",77,67,0,"A","no wound",1,9.96610580492879,8.87805509342179,0.890824888597019
"151",78,67,2,"A","wounded",1,10.7861550544244,9.39784870611322,0.871288115059898
"152",91,66,1,"A","wounded",1,8.95674479401697,7.81628097484923,0.872669832020941
"153",14,68,2,"H","wounded",1,9.66769485199522,7.98632927847314,0.826084128712949
"154",2,68,1,"H","wounded",1,11.4157844730218,5.94956669651997,0.52117020171327
"155",28,70,0,"H","no wound",1,7.36534486760379,4.99269694417161,0.677863295462485
"156",33,70,2,"H","wounded",1,7.88731028200823,5.09529662016818,0.646011940444524
"157",35,70,1,"H","wounded",1,6.82006844074843,5.4686275657384,0.801843502488119
"158",45,69,2,"H","wounded",1,10.7689183513131,8.3336772814903,0.773863911826777
"159",47,69,0,"H","no wound",1,10.0328456903102,9.11634164280528,0.908649641806999
"160",50,69,1,"H","wounded",1,8.76350892234619,7.53272083374779,0.859555333428143
"161",55,65,2,"H","wounded",1,11.6418293482893,6.74019781681637,0.578963805014614
"162",60,65,0,"H","no wound",1,10.0021035961472,8.32383484062962,0.832208421020148
"163",70,65,1,"H","wounded",1,10.7668451968771,8.82940550751047,0.820055025038479
"164",73,67,2,"H","wounded",1,12.2389555144385,9.23535369471936,0.754586752425419
"165",84,67,1,"H","wounded",1,10.1833023698459,7.73324338075573,0.75940427769825
"166",89,67,0,"H","no wound",1,11.5402246514261,10.0045809436415,0.866931211985136
"167",94,66,2,"H","wounded",1,9.47113693729843,5.92462069056895,0.6255448242161
"168",96,66,1,"H","wounded",1,8.82641228766772,7.98086428024933,0.904202525345458
"169",99,66,0,"H","no wound",1,8.04784162997813,5.52561352679862,0.686595708620279
"170",1,68,0,"A","no wound",1,8.26587055894418,5.61282962301719,0.679036718878178
"171",102,66,2,"A","wounded",1,8.24989047305458,6.94460429018887,0.841781392476788
"172",105,66,1,"A","wounded",1,7.23954840262456,7.84952417390343,1.08425605263689
"173",107,66,0,"A","no wound",1,7.19536186635697,6.76354336482784,0.939986548341903
"174",21,70,0,"A","no wound",1,5.04855916151018,4.02545742597392,0.797347777295291
"175",22,70,1,"A","wounded",1,6.14418205617042,6.56834490171641,1.06903487586603
"176",27,70,2,"A","wounded",1,5.39216821320412,4.17899133475871,0.775011307051841
"177",38,69,1,"A","wounded",1,8.43683136733482,7.91207125511831,0.937801279962967
"178",4,68,2,"A","wounded",1,10.0252231770176,8.03978514506333,0.80195572737914
"179",44,69,2,"A","wounded",1,7.13313334997542,7.64920288334987,1.07234822455355
"180",53,69,0,"A","no wound",1,8.50767783010245,8.72770675793752,1.02586239538321
"181",6,68,1,"A","wounded",1,8.17404191376379,6.55020349649097,0.80134204908608
"182",64,65,0,"A","no wound",1,11.325386439804,10.6023005321552,0.9361535333481
"183",65,65,2,"A","wounded",1,8.46760310107184,8.29880581448277,0.980065517410977
"184",82,67,2,"A","wounded",1,7.65347450802534,9.08089966010513,1.18650681472618
"185",83,67,0,"A","no wound",1,8.19633593652293,9.5540181859902,1.16564502235901
"186",88,67,1,"A","wounded",1,9.55995987977595,10.3136099519303,1.07883402039675
"187",10,68,1,"H","wounded",1,8.14355999832582,5.75392069693492,0.706560852761916
"188",100,66,1,"H","wounded",1,9.10603601330577,8.45540253349011,0.92854920858374
"189",13,68,2,"H","wounded",1,10.8314391137281,7.96951369656412,0.735776069355673
"190",30,70,1,"H","wounded",1,8.91872784502766,7.94282551878732,0.890578304081291
"191",31,70,2,"H","wounded",1,6.33840121767561,5.57640157858623,0.879780466253158
"192",36,70,0,"H","no wound",1,6.82217558403992,7.06278762956084,1.03526910771453
"193",39,69,2,"H","wounded",1,8.87733019257453,9.40972650867322,1.05997257109395
"194",40,69,0,"H","no wound",1,9.58343935956212,6.23444563238214,0.65054365123744
"195",48,69,1,"H","wounded",1,10.53785954131,9.41261161021038,0.893218549109667
"196",61,65,0,"H","no wound",1,9.52728569564667,9.032224314377,0.948037521169762
"197",66,65,2,"H","wounded",1,11.2314458627028,7.100630442667,0.632209826719339
"198",72,65,1,"H","wounded",1,11.837069793755,11.4648299706007,0.968553043139894
"199",79,67,2,"H","wounded",1,9.06657396028656,8.93250733072975,0.985213088191411
"200",8,68,0,"H","no wound",1,10.778699297924,9.79665559883858,0.908890333430623
"201",80,67,1,"H","wounded",1,13.5038003446356,11.0700848034882,0.819775509187362
"202",86,67,0,"H","no wound",1,10.2281370529631,6.97487881000649,0.681930519105223
"203",93,66,2,"H","wounded",1,6.8176174774071,5.24388589652389,0.769166928755038
"204",95,66,0,"H","no wound",1,8.95373589755806,8.17138439851522,0.91262289752636
"205",103,66,0,"A","no wound",10,5.2456934425792,5.12249141392063,0.976513681173486
"206",106,66,1,"A","wounded",10,4.70373728437713,4.18008981799056,0.888674168065084
"207",15,68,0,"A","no wound",10,4.57705362126627,2.97019637000412,0.648931958368098
"208",19,70,0,"A","no wound",10,4.06381760769436,2.96929901556859,0.730667392637546
"209",25,70,2,"A","wounded",10,3.75256412119337,3.37084324030772,0.898277319572022
"210",26,70,1,"A","wounded",10,3.86854854260216,3.07977227368163,0.796105371243458
"211",41,69,0,"A","no wound",10,5.74598280075174,5.12947048932064,0.892705506993435
"212",49,69,2,"A","wounded",10,4.4032030392101,3.47867405585004,0.790032625085144
"213",52,69,1,"A","wounded",10,5.0119600675835,4.61348877678215,0.920495916681661
"214",57,65,0,"A","no wound",10,4.68694819209865,3.04896639517308,0.650522743202729
"215",59,65,2,"A","wounded",10,5.93291696383755,5.29793536005715,0.892973118004052
"216",69,65,1,"A","wounded",10,7.00336106230631,4.4495798145817,0.635349195192914
"217",85,67,1,"A","wounded",10,4.61832109471731,3.97382642474408,0.860448276168923
"218",87,67,2,"A","wounded",10,4.898454155005,3.65055902501949,0.74524715542954
"219",9,68,2,"A","wounded",10,4.53203465377449,3.9882615501392,0.880015678348263
"220",90,67,0,"A","no wound",10,4.6524697003255,3.30783475431322,0.710984695737362
"221",18,68,0,"H","no wound",10,7.55199081359179,6.95240634509103,0.920605773589972
"222",23,70,1,"H","wounded",10,8.52908722697034,6.50513694156986,0.76270024780607
"223",24,70,2,"H","wounded",10,7.00997028366696,6.35917828832607,0.907161946626619
"224",3,68,1,"H","wounded",10,5.14003548382941,4.14220040151884,0.805870001199453
"225",32,70,0,"H","no wound",10,5.76674699391982,5.7150466713863,0.991034751032423
"226",43,69,2,"H","wounded",10,7.58206542129785,6.08174811457792,0.802122875053863
"227",46,69,1,"H","wounded",10,9.02267560654139,7.73346303804152,0.85711416161685
"228",51,69,0,"H","no wound",10,5.35722351821634,6.0131357798419,1.12243511203056
"229",56,65,1,"H","wounded",10,5.40724954317134,5.07973198879946,0.939429916863094
"230",58,65,0,"H","no wound",10,5.51965446605166,5.07707911552736,0.919818286951414
"231",63,65,2,"H","wounded",10,7.25675583192353,6.0398852878157,0.832312045176628
"232",7,68,2,"H","wounded",10,5.57295804211734,4.55930065188153,0.818111426180648
"233",74,67,1,"H","wounded",10,5.54652858174988,5.10351147041407,0.920127138117795
"234",76,67,2,"H","wounded",10,4.92582692369334,4.8959517949217,0.993935002338808
"235",81,67,0,"H","no wound",10,8.84314591925834,7.08518254042142,0.801206109806639
"236",92,66,1,"H","wounded",10,5.30889870567392,4.77328297606288,0.899109823090314
"237",97,66,0,"H","no wound",10,5.15944483596789,5.22674383396705,1.01304384485904
"238",98,66,2,"H","wounded",10,5.70935854044153,5.45247317798721,0.955006265478914
"239",101,66,2,"A","wounded",10,5.35581004621424,4.97419474680092,0.928747417081554
"240",108,66,0,"A","no wound",10,4.48082728785063,4.89594960528176,1.09264412367705
"241",12,68,1,"A","wounded",10,4.33700771384501,3.23558849926558,0.746041674986334
"242",16,68,2,"A","wounded",10,4.71364337130482,4.56626411602142,0.968733473520589
"243",20,70,1,"A","wounded",10,3.85464984390743,3.76927124766647,0.977850492340854
"244",29,70,2,"A","wounded",10,3.82392469063781,3.45630733490995,0.903863860962559
"245",34,70,0,"A","no wound",10,4.12607244084202,3.94139252259813,0.9552407474925
"246",42,69,2,"A","wounded",10,4.32159733606552,3.93116884485015,0.909656439308427
"247",54,69,1,"A","wounded",10,3.89903164700836,3.60490269810201,0.924563590261694
"248",62,65,2,"A","wounded",10,4.45883915830738,3.40411694296805,0.763453630442297
"249",67,65,1,"A","wounded",10,3.9029114369296,3.62003799540257,0.927522454429667
"250",68,65,0,"A","no wound",10,5.14277169378272,5.62598807305769,1.09396030157418
"251",75,67,1,"A","wounded",10,4.29552441297978,3.53836038481151,0.823731876396662
"252",77,67,0,"A","no wound",10,5.05552418010189,4.2081422933107,0.832384960173583
"253",78,67,2,"A","wounded",10,5.85611343272809,3.93983080608533,0.67277228341698
"254",91,66,1,"A","wounded",10,5.45127987578042,5.49607912135136,1.00821811512008
"255",14,68,2,"H","wounded",10,4.74055213431045,5.75283384292663,1.2135366682901
"256",2,68,1,"H","wounded",10,4.02267576256076,3.51441367277437,0.873650743985679
"257",28,70,0,"H","no wound",10,3.81656540933716,4.27030084583883,1.11888580119487
"258",33,70,2,"H","wounded",10,2.76560209219952,3.97214971870363,1.43626942209337
"259",35,70,1,"H","wounded",10,3.79943833582132,5.07141870928615,1.33478116001319
"260",45,69,2,"H","wounded",10,4.52095087555453,5.48128084614756,1.21241769641552
"261",47,69,0,"H","no wound",10,5.15826567971877,6.44947209042327,1.25031793453006
"262",50,69,1,"H","wounded",10,4.29110367204563,3.97140755374726,0.925497927169407
"263",55,65,2,"H","wounded",10,5.78077012609077,6.4773536120832,1.12050011863445
"264",60,65,0,"H","no wound",10,5.55770259427813,5.15948616849802,0.928348734207173
"265",70,65,1,"H","wounded",10,5.40549337417197,4.6811137249857,0.86599194577734
"266",73,67,2,"H","wounded",10,4.49151069297935,3.91903818323566,0.872543438304951
"267",84,67,1,"H","wounded",10,4.8936143963005,4.42349965590459,0.903933023257553
"268",89,67,0,"H","no wound",10,4.5898018478383,5.19241151111175,1.13129317631812
"269",94,66,2,"H","wounded",10,5.44260116276255,3.91393796089034,0.719130034305823
"270",96,66,1,"H","wounded",10,4.89163818794551,4.84598495799212,0.990667087752752
"271",99,66,0,"H","no wound",10,4.55414657604445,5.4319784172226,1.19275441106698
"272",1,68,0,"A","no wound",10,4.16490332032262,3.91830127267664,0.940790450898899
"273",102,66,2,"A","wounded",10,6.42768340924736,4.16158228148705,0.6474466797011
"274",105,66,1,"A","wounded",10,4.91841270333784,3.65553046520567,0.743233780021119
"275",107,66,0,"A","no wound",10,5.20124747144274,4.84887463835904,0.932252246212395
"276",21,70,0,"A","no wound",10,3.91798143343702,3.7221994706361,0.950029890103594
"277",22,70,1,"A","wounded",10,3.77964789388866,3.47719164133058,0.919977664309122
"278",27,70,2,"A","wounded",10,3.43063511451581,3.50491104394192,1.02165078096235
"279",38,69,1,"A","wounded",10,5.2641183440156,3.84448107433139,0.730318131753612
"280",4,68,2,"A","wounded",10,4.43745693453624,3.64883722270576,0.822281157098621
"281",44,69,2,"A","wounded",10,4.51025164710115,4.61452186986483,1.02311849336183
"282",53,69,0,"A","no wound",10,4.96809159658676,4.34981292685921,0.875550066316747
"283",6,68,1,"A","wounded",10,3.98855375323933,3.92220186129294,0.983364423284378
"284",64,65,0,"A","no wound",10,6.99194547679508,3.84044075802515,0.54926640529032
"285",65,65,2,"A","wounded",10,5.06086291629706,5.03079094158164,0.994057935333798
"286",82,67,2,"A","wounded",10,6.28684709948311,6.02064874842507,0.95765789324192
"287",83,67,0,"A","no wound",10,5.28693126310309,4.20928606109883,0.796168108043125
"288",88,67,1,"A","wounded",10,5.35430276393339,4.3200396601783,0.806835147477671
"289",10,68,1,"H","wounded",10,5.18451914861826,5.63385665097417,1.08666907951833
"290",100,66,1,"H","wounded",10,5.66301429233943,5.09353426129699,0.899438708496145
"291",13,68,2,"H","wounded",10,4.61089811231823,3.89916041049899,0.84564011511818
"292",30,70,1,"H","wounded",10,3.08871013929771,3.40868481369862,1.10359491825726
"293",31,70,2,"H","wounded",10,6.81554690055479,6.03584386528506,0.885599344169099
"294",36,70,0,"H","no wound",10,3.82644817990956,3.04941435492012,0.796930785821381
"295",39,69,2,"H","wounded",10,4.7294256258256,4.95345525157604,1.04736930939924
"296",40,69,0,"H","no wound",10,4.80981350716329,3.90842444968257,0.812593761454934
"297",48,69,1,"H","wounded",10,5.47868376584636,5.52755620285363,1.00892047051738
"298",61,65,0,"H","no wound",10,6.29316537903942,4.71917198251554,0.749888442187399
"299",66,65,2,"H","wounded",10,6.00312148438351,6.14694874533391,1.02395874568332
"300",72,65,1,"H","wounded",10,3.26189564808385,4.19054054803616,1.28469485236226
"301",79,67,2,"H","wounded",10,5.20936345251309,5.47383433910509,1.05076836911128
"302",8,68,0,"H","no wound",10,4.53655496153767,5.0346727244978,1.10980088793883
"303",80,67,1,"H","wounded",10,5.23465524144446,4.35192579559206,0.831368178965532
"304",86,67,0,"H","no wound",10,5.75012267593143,3.99457740606067,0.694694292833259
"305",93,66,2,"H","wounded",10,4.86660608249805,5.43135477872602,1.11604569727946
"306",95,66,0,"H","no wound",10,4.99501137772017,5.46315469943019,1.09372217324632
"307",103,66,0,"A","no wound",19,6.23291519911843,5.50667601801456,0.883483224477915
"308",106,66,1,"A","wounded",19,5.65513316705475,4.83689759062768,0.855310997591731
"309",15,68,0,"A","no wound",19,5.03577224358984,4.57743035237879,0.908982799650144
"310",19,70,0,"A","no wound",19,5.94982221004283,4.78540101835992,0.804293111529037
"311",25,70,2,"A","wounded",19,4.97152070063564,3.56196116539357,0.716473163822519
"312",26,70,1,"A","wounded",19,4.03424674092004,3.88021393254801,0.961818694228676
"313",41,69,0,"A","no wound",19,5.66366479006635,4.33389090024527,0.765209640910704
"314",49,69,2,"A","wounded",19,5.62018087679533,3.93350981740322,0.699890253291303
"315",52,69,1,"A","wounded",19,5.84535082709476,5.24660108191425,0.897568210550314
"316",57,65,0,"A","no wound",19,6.22093291636821,5.40443230153787,0.868749490501337
"317",59,65,2,"A","wounded",19,7.04630303309914,4.46342986779913,0.633442792175233
"318",69,65,1,"A","wounded",19,8.01649480394956,5.27862425542987,0.658470364482641
"319",85,67,1,"A","wounded",19,6.27445311260453,4.67587686028751,0.745224607845791
"320",87,67,2,"A","wounded",19,5.34042639126395,4.1069821326278,0.769036371205516
"321",9,68,2,"A","wounded",19,4.81551569961595,3.46473804514639,0.719494704465965
"322",90,67,0,"A","no wound",19,4.89009355443163,4.44979196167551,0.909960497103966
"323",18,68,0,"H","no wound",19,6.34555838644263,4.39872935330751,0.693198153011318
"324",23,70,1,"H","wounded",19,6.36003451037991,6.2742490249854,0.986511789322134
"325",24,70,2,"H","wounded",19,5.22053415948734,3.78860752463686,0.725712620374636
"326",3,68,1,"H","wounded",19,6.10390119724575,5.38248758801756,0.881811060514265
"327",32,70,0,"H","no wound",19,4.39768487407392,4.79399204699737,1.09011722855811
