"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status","timepoint"
"89",50,0.389371913440161,"Respiration",69,"1","H",20230607,646.5712098,18.6742865,"20230607_g3_50_O2","wounded","0"
"90",54,0.259321194206363,"Respiration",69,"1","A",20230607,647.5340821,9.472281,"20230607_g3_54_O2","wounded","0"
"91",57,0.438880319629897,"Respiration",65,"0","A",20230607,647.2629465,15.113762,"20230607_g3_57_O2","no wound","0"
"92",61,0.385886719369791,"Respiration",65,"0","H",20230607,647.7113429,10.0055315,"20230607_g3_61_O2","no wound","0"
"93",63,0.463947543354036,"Respiration",65,"2","H",20230607,647.4816381,10.9789315,"20230607_g3_63_O2","wounded","0"
"94",67,0.345367403363832,"Respiration",65,"1","A",20230607,646.7815104,11.0615135,"20230607_g3_67_O2","wounded","0"
"95",68,0.497211472777826,"Respiration",65,"0","A",20230607,647.6242858,8.8153145,"20230607_g3_68_O2","no wound","0"
"96",70,0.423138000182467,"Respiration",65,"1","H",20230607,647.3227327,11.800905,"20230607_g3_70_O2","wounded","0"
"97",73,0.514639548906764,"Respiration",67,"2","H",20230607,646.8386744,13.0631065,"20230607_g3_73_O2","wounded","0"
"98",78,0.473765566033003,"Respiration",67,"2","A",20230607,646.9231092,10.711639,"20230607_g3_78_O2","wounded","0"
"99",8,0.426405880993743,"Respiration",68,"0","H",20230607,647.7087207,9.450772,"20230607_g3_8_O2","no wound","0"
"100",80,0.551874378981827,"Respiration",67,"1","H",20230607,646.5544278,10.8349625,"20230607_g3_80_O2","wounded","0"
"101",84,0.367551919586582,"Respiration",67,"1","H",20230607,646.8035369,12.9155265,"20230607_g3_84_O2","wounded","0"
"102",86,0.414393464131818,"Respiration",67,"0","H",20230607,646.8176967,12.334234,"20230607_g3_86_O2","no wound","0"
"103",9,0.404850612501428,"Respiration",68,"2","A",20230607,647.0463527,15.383017,"20230607_g3_9_O2","wounded","0"
"104",90,0.497689790829464,"Respiration",67,"0","A",20230607,647.1800849,8.590883,"20230607_g3_90_O2","no wound","0"
