"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"135",56,0.504134407232381,-0.503958577272691,30.525253968254,"H",1,"day1"
"136",58,0.377796088719091,-0.738571230145091,30.6671206896552,"H",0,"day1"
"137",63,0.443858842553583,-0.609065546397141,30.5032222222222,"H",2,"day1"
"138",7,0.466439090571589,-0.56838572314444,30.6253015873016,"H",2,"day1"
"139",74,0.445713755042448,-0.605660698872607,30.3117777777778,"H",1,"day1"
"140",76,0.483467038184023,-0.538767318681432,30.9078448275862,"H",2,"day1"
"141",81,0.548890402847063,-0.432491447344085,30.518126984127,"H",0,"day1"
"142",92,0.332358693738928,-0.838499725673485,30.7923448275862,"H",1,"day1"
"143",97,0.366369274797712,-0.76277752347926,30.586380952381,"H",0,"day1"
"144",98,0.379343647559436,-0.7353375117438,30.8011379310345,"H",2,"day1"
"145",108,0.34868571062521,-0.801432612673536,28.8206885245902,"A",0,"day1"
"146",12,0.30309907873903,-0.908572894301892,28.834,"A",1,"day1"
"147",16,0.382261471486559,-0.729268840052447,28.8040819672131,"A",2,"day1"
"148",20,0.367896478883129,-0.759508206500264,28.7069672131148,"A",1,"day1"
"149",34,0.360309902493844,-0.775855315260117,28.8852786885246,"A",0,"day1"
"151",42,0.40941201509648,-0.674498129953107,28.6611475409836,"A",2,"day1"
"152",54,0.281733858510706,-0.96303161865696,28.8561639344262,"A",1,"day1"
"153",75,0.340901833035474,-0.818933029141122,28.8305573770492,"A",1,"day1"
"154",101,0.385986259807862,-0.721574927481588,29.0041842105263,"A",2,"day1"
"156",29,0.286089904666558,-0.951685022993545,28.9854868421053,"A",2,"day1"
"157",62,0.470388033165887,-0.561438389825329,28.9359473684211,"A",2,"day1"
"158",67,0.328007582321295,-0.848614367853301,29.0315131578947,"A",1,"day1"
"159",68,0.51555193857346,-0.485235952557983,29.0853947368421,"A",0,"day1"
"160",77,0.433308948040382,-0.628654382891959,28.9818815789474,"A",0,"day1"
"161",78,0.468963263235843,-0.563939410673274,28.9996842105263,"A",2,"day1"
"162",91,0.38942368669639,-0.714526729683421,28.8137236842105,"A",1,"day1"
"163",14,0.420334558782401,-0.653283292014459,30.8215409836066,"H",2,"day1"
"165",2,0.496338455348773,-0.516946894996571,30.8814516129032,"H",1,"day1"
"166",28,0.320232385547991,-0.866947421794345,31.0268196721311,"H",0,"day1"
"167",33,0.342926534000358,-0.814351360160531,30.9847258064516,"H",2,"day1"
"168",35,0.296524714815149,-0.925016907403039,30.9334590163934,"H",1,"day1"
"169",45,0.468213841361438,-0.565257449842139,30.9796774193548,"H",2,"day1"
"170",47,0.436210682187401,-0.623228131358202,30.8328387096774,"H",0,"day1"
"171",50,0.38102212705853,-0.731842007733759,30.9482580645161,"H",1,"day1"
"172",55,0.506166493403882,-0.500600589056818,30.7620806451613,"H",2,"day1"
"173",60,0.434874069397705,-0.62572394409672,30.8639672131148,"H",0,"day1"
"174",70,0.468123704212047,-0.565416094867873,30.9139193548387,"H",1,"day1"
"175",73,0.532128500627763,-0.458662581724652,31.0224193548387,"H",2,"day1"
"176",84,0.442752276949823,-0.611102275023281,30.7413387096774,"H",1,"day1"
