"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"175","73","H","2",67,"day1",0.00108205532423317,9.50813994610604,12.6700616983208
"176","84","H","1",67,"day1",0.000838331170427455,9.40672798158713,11.5956275
"177","89","H","0",67,"day1",0.00114362072935432,8.56009173234595,10.0967485
"178","94","H","2",66,"day1",0.000451601731603913,11.1122928394051,12.8201536983208
"179","96","H","1",66,"day1",0.00144587474684158,10.1688542603959,15.2297065
"180","99","H","0",66,"day1",0.000701134761868207,9.00876284809627,16.5598105
"181","1","A","0",68,"day1",0.000941607627678248,11.809538724192,22.4680345
"182","102","A","2",66,"day1",0.000748606178854997,7.73421059191392,9.88488169832077
"183","105","A","1",66,"day1",0.00266994295327428,11.6804559326719,24.099971
"184","107","A","0",66,"day1",0.000626794098239996,6.99044784077417,7.4710805
"185","21","A","0",70,"day1",0.000444122828782799,7.78184828878444,10.917466
"186","22","A","1",70,"day1",0.000879654938294622,8.29049595536968,9.5967035
