"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"176",84,0.260269848573425,-1.02090194895566,30.7861333333333,"H",1,"day1"
"177",89,0.407758460624778,-0.677749415687002,31.22065,"H",0,"day1"
"178",94,0.126813318469578,-1.48362798544186,31.1037833333333,"H",2,"day1"
"179",96,0.34177606040075,-0.816952175972297,31.1704333333333,"H",1,"day1"
"180",99,0.152422344611102,-1.37665162366337,31.2304666666667,"H",0,"day1"
"181",1,0.150871561980274,-1.38281417607404,27.2315,"A",0,"day1"
"182",102,0.272636772611635,-0.987151133758358,27.1966333333333,"A",2,"day1"
"183",105,0.398830132691339,-0.695489656633329,27.2012333333333,"A",1,"day1"
"184",107,0.302025758344323,-0.911239116932471,27.1076833333333,"A",0,"day1"
"185",21,0.146448102848965,-1.40060384377491,27.0269333333333,"A",0,"day1"
"186",22,0.329983913524122,-0.844007481403335,26.8387666666667,"A",1,"day1"
"187",27,0.145466206933617,-1.40459599118709,27.2618,"A",2,"day1"
"188",38,0.352460449909241,-0.793054923177555,26.9850666666667,"A",1,"day1"
"189",4,0.29501029007614,-0.92884346359466,27.1894166666667,"A",2,"day1"
"190",44,0.385245847696907,-0.72309961400846,26.8968,"A",2,"day1"
"191",53,0.423528850993818,-0.6471631384541,26.9355333333333,"A",0,"day1"
"192",6,0.240079918450161,-1.07857463472768,27.2174333333333,"A",1,"day1"
"193",64,0.471437396844762,-0.559600343576355,27.1513666666667,"A",0,"day1"
"194",65,0.386280235657365,-0.720970204682165,26.9919166666667,"A",2,"day1"
"196",82,0.492776571518337,-0.522937727511465,27.07285,"A",2,"day1"
"197",83,0.512184675794555,-0.49072128415531,26.98725,"A",0,"day1"
"198",88,0.521950475165458,-0.474894811333436,26.9344,"A",1,"day1"
"199",10,0.16901587370719,-1.31298489105742,30.67535,"H",1,"day1"
"200",100,0.372758348315846,-0.749170912549576,30.5427166666667,"H",1,"day1"
"201",13,0.253569109762712,-1.03967631130304,30.67215,"H",2,"day1"
"202",30,0.334304271291716,-0.834009904602052,30.5544,"H",1,"day1"
"203",31,0.231362936415224,-1.10454101966715,30.525,"H",2,"day1"
"204",36,0.345455272946483,-0.808658434537958,30.6162833333333,"H",0,"day1"
"205",39,0.469458804668633,-0.563068834675041,30.6204666666667,"H",2,"day1"
"206",40,0.150096508259312,-1.38590840257423,30.7182333333333,"H",0,"day1"
"207",48,0.397524158420667,-0.698111163922938,30.5931833333333,"H",1,"day1"
"208",61,0.406881488452797,-0.67947805330108,30.3817166666667,"H",0,"day1"
"209",66,0.15718812526328,-1.35794745695636,30.5647166666667,"H",2,"day1"
"210",72,0.527602061630485,-0.465848973185243,30.5565666666667,"H",1,"day1"
"211",79,0.417847253136886,-0.658074958321874,30.5977666666667,"H",2,"day1"
"212",8,0.421965954530131,-0.650152914433139,30.4676333333333,"H",0,"day1"
"213",80,0.419249591657057,-0.655370602635359,30.6647166666667,"H",1,"day1"
"214",86,0.189378280820376,-1.2400205165977,30.5728833333333,"H",0,"day1"
"215",93,0.180298748492377,-1.27189928570764,30.47195,"H",2,"day1"
"216",95,0.353560262026527,-0.790627136167828,30.5025666666667,"H",0,"day1"
"217",103,0.354516941148572,-0.788520091804988,27.8165333333333,"A",0,"day10"
"219",106,0.19945004005927,-1.20580768649552,28.1402,"A",1,"day10"
"220",15,0.109182459542985,-1.56454839570341,27.8374333333333,"A",0,"day10"
"221",19,0.131728694947383,-1.46218800994923,27.8149333333333,"A",0,"day10"
"222",25,0.217161079184963,-1.14834549793219,28.0563666666667,"A",2,"day10"
"223",26,0.193902577030969,-1.2245069372018,27.7306333333333,"A",1,"day10"
"224",41,0.321642035863649,-0.863598581166312,27.82275,"A",0,"day10"
"225",49,0.217041189362233,-1.14872357864903,28.0635666666667,"A",2,"day10"
"227",52,0.337762520379835,-0.826078706557953,27.9888166666667,"A",1,"day10"
"228",57,0.130909911541809,-1.46572763785302,27.80695,"A",0,"day10"
"229",59,0.35929793218783,-0.778056189755386,27.7523666666667,"A",2,"day10"
"230",69,0.155080524532257,-1.36617600119307,27.9150833333333,"A",1,"day10"
"231",85,0.320534004430537,-0.866229936178651,28.0496833333333,"A",1,"day10"
"232",87,0.229089730879477,-1.11142482716758,27.8534833333333,"A",2,"day10"
"233",9,0.255474051927499,-1.03430302276142,27.9452833333333,"A",2,"day10"
"234",90,0.217224030971141,-1.14814703240903,28.0542,"A",0,"day10"
"235",18,0.483769190733654,-0.538249595620933,30.4507333333333,"H",0,"day10"
"236",23,0.361914929791534,-0.772374539505624,30.5889333333333,"H",1,"day10"
"237",24,0.503785472342806,-0.50453632237844,30.6421333333333,"H",2,"day10"
"238",3,0.247924205646655,-1.05577062279543,31.0244833333333,"H",1,"day10"
"239",32,0.407217095872478,-0.678816170053986,30.5706666666667,"H",0,"day10"
"240",43,0.351518438624635,-0.795139068366201,30.6410833333333,"H",2,"day10"
"241",46,0.544201597187688,-0.439743562752987,30.55615,"H",1,"day10"
"242",51,0.592759544249975,-0.36707231799729,30.8454666666667,"H",0,"day10"
"243",56,0.345460141082044,-0.808647506147933,30.9528666666667,"H",1,"day10"
"244",58,0.26168470376151,-1.01698243076762,30.9186333333333,"H",0,"day10"
"245",63,0.420102551195077,-0.653729273014069,30.6356333333333,"H",2,"day10"
"246",7,0.304186785924564,-0.905878166470404,30.3954,"H",2,"day10"
"247",74,0.337086215018791,-0.827624814972818,30.87505,"H",1,"day10"
"248",76,0.355570577936581,-0.786204628211303,30.8869666666667,"H",2,"day10"
"249",81,0.497139621310948,-0.515604321390595,30.6409666666667,"H",0,"day10"
"250",92,0.235337787954392,-1.09261693292057,31.0006333333333,"H",1,"day10"
"251",97,0.346460700768332,-0.80640389873558,30.94605,"H",0,"day10"
"252",98,0.327715762136611,-0.849296411174631,31.0122,"H",2,"day10"
"253",101,0.296157850102723,-0.92594253578155,28.0978333333333,"A",2,"day10"
"254",108,0.374238122312152,-0.746045715684336,28.4136833333333,"A",0,"day10"
"256",12,0.139460715805066,-1.42936590145099,28.4061166666667,"A",1,"day10"
"257",16,0.338601513193193,-0.824163992951422,28.2176666666667,"A",2,"day10"
"258",20,0.293224927226265,-0.93337349692439,28.0286333333333,"A",1,"day10"
"259",29,0.212896055446853,-1.1618842348206,28.2804333333333,"A",2,"day10"
"260",34,0.29853667989679,-0.91995574007735,28.331,"A",0,"day10"
"262",42,0.28523929158713,-0.953890601178274,28.03495,"A",2,"day10"
"263",54,0.21436770991024,-1.15719192754933,28.0937333333333,"A",1,"day10"
"264",62,0.217141273659961,-1.14840794614768,28.0977166666667,"A",2,"day10"
"265",67,0.245731291882667,-1.06209341870043,28.0902,"A",1,"day10"
"266",68,0.575413164147492,-0.392430680330043,28.0659666666667,"A",0,"day10"
"267",75,0.201856019601915,-1.19780513157673,28.10775,"A",1,"day10"
"268",77,0.292209023309433,-0.935960358576251,28.3449833333333,"A",0,"day10"
"269",78,0.196147119429008,-1.21689892303614,28.4224,"A",2,"day10"
"270",91,0.392220409351902,-0.708828676318211,28.3486166666667,"A",1,"day10"
